범죄분류,불취학,초등학교_재중,초등학교_중퇴,초등학교_졸업,중학교_재중,중학교_중퇴,중학교_졸업,고등학교_재중,고등학교_중퇴,고등학교_졸업,전문대학_재중,전문대학_중퇴,전문대학_졸업,대학교_재중,대학교_중퇴,대학교_졸업,대학원,기타,미상
절도,2529,29,2781,7601,6132,2687,8051,6057,5103,27582,405,612,3609,1982,2176,7924,1166,999,15039
장물,4,0,9,57,46,20,107,74,51,509,6,10,66,31,27,125,10,16,301
사기,369,9,638,3464,849,2315,9302,2477,7283,63215,590,1251,7202,2603,6115,17124,2772,1790,131460
횡령,369,0,459,1427,199,437,1651,607,740,7736,74,130,1154,400,712,3152,575,224,18009
배임,6,0,18,95,0,19,92,0,42,933,1,10,198,13,73,765,156,44,7809
손괴,390,2,496,1791,192,718,2717,357,1225,12845,117,223,1850,647,933,4603,722,453,8804
살인,15,0,16,71,4,31,85,6,45,253,4,11,17,4,22,62,5,6,393
강도,6,2,14,41,69,56,82,108,178,454,8,19,22,18,25,52,8,14,319
방화,17,0,35,80,43,45,114,33,50,423,4,8,51,14,37,72,18,9,241
성폭력,142,1,293,866,597,368,1366,1487,902,7882,237,234,1721,1690,991,4832,995,311,8636
폭행,1008,13,1568,5699,1475,2582,10329,2733,5205,48481,581,843,6333,2703,3689,15014,2395,1841,104899
상해,492,8,713,2598,1120,1241,4715,1952,2826,21545,415,404,2866,1392,1554,5827,821,683,8515
협박,138,0,251,913,154,415,1384,238,735,6439,46,121,869,209,475,2055,382,220,8517
공갈,7,3,9,61,413,117,220,599,509,1097,21,22,101,68,78,236,44,53,1708
약취와유인,0,0,3,14,4,7,12,2,20,60,0,0,12,3,5,44,12,6,164
체포와감금,1,0,5,35,41,27,106,58,120,649,14,10,75,50,29,140,23,26,1137
"폭력행위등(손괴,강요,주거침입등)",14,0,6,64,187,33,105,175,122,678,19,7,98,62,31,300,53,22,1272
"폭력행위등(단체등의구성,활동)",1,1,0,4,16,10,42,31,28,210,1,5,4,4,10,12,4,2,117
통화,0,0,0,3,0,0,8,9,4,17,1,0,9,7,4,0,0,0,156
유가증권·인지·우표,1,0,2,1,0,1,5,0,0,24,0,1,5,0,3,19,4,1,200
문서,34,0,43,219,67,92,354,646,374,2702,28,28,435,218,256,1322,282,81,11659
인장,2,0,3,15,0,6,23,6,15,112,1,1,13,5,10,47,9,5,259
직무유기,0,0,0,0,0,0,0,0,0,22,0,1,7,0,4,57,8,1,2501
직권남용,0,0,0,0,0,0,1,0,0,20,0,1,18,1,3,85,28,0,3013
수뢰,1,0,1,9,0,4,8,0,3,120,0,2,38,2,9,238,59,2,568
증뢰,0,0,1,2,0,0,6,0,3,68,0,0,17,1,3,95,12,0,207
도박과복표,213,0,275,1484,4,411,2379,35,635,8847,24,102,997,263,461,1824,162,336,2874
신앙,1,0,3,23,0,3,38,0,5,160,0,0,11,1,8,66,21,1,666
기타음란행위,35,1,35,123,23,55,146,54,65,723,16,10,135,74,64,337,56,38,364
과실치사상,46,0,34,129,8,29,144,20,48,681,9,7,92,61,49,341,53,27,1438
업무상과실치사상,15,0,23,163,0,34,255,2,70,1251,4,12,387,19,59,1107,205,54,2185
실화,49,1,52,165,23,31,184,25,62,745,2,9,127,31,43,276,35,16,232
명예,162,2,177,772,187,252,1210,317,524,5916,65,92,975,587,533,3000,603,172,21597
권리행사방해,6,1,22,121,36,98,363,53,165,1771,8,32,218,26,148,447,90,44,9779
신용업무경매,270,1,404,1455,20,549,2086,56,798,8539,85,112,1036,177,513,2986,513,363,11584
주거침입,161,2,162,628,192,244,886,209,439,4222,39,73,623,288,379,1619,254,186,4819
비밀침해,0,0,1,1,0,1,0,0,1,14,0,0,2,2,1,18,4,0,76
유기,0,0,0,3,0,3,6,0,3,29,0,0,14,1,2,48,10,5,128
교통방해,13,0,23,125,0,21,117,1,37,408,0,3,46,4,20,173,42,6,776
공무방해,119,2,156,597,7,267,1085,67,515,5108,50,93,761,267,344,1683,262,152,1975
도주와범인은닉,0,0,1,5,0,6,23,12,18,219,3,6,22,13,15,48,6,5,288
위증과증거인멸,4,0,7,41,0,5,41,1,9,200,1,2,51,2,19,113,43,6,3068
무고,8,0,14,43,4,17,61,8,26,320,4,5,52,22,31,203,49,22,6284
공안을해하는죄,0,0,0,2,0,10,18,0,22,291,2,5,16,9,19,22,1,11,140
내란의죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52
음용수에관한죄,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,2,0,0,12
일수와수리에관한죄,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
기타,0,0,0,0,0,0,0,0,0,7,1,0,1,1,0,12,3,1,97
가정폭력범죄의처벌등에관한특례법,4,0,7,21,0,7,26,0,18,132,0,2,15,1,11,51,7,4,76
